"filename", "language", "Python", "JSON with Comments", "JSON", "Markdown", "codediagram", "comment", "blank", "total"
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\saves\save_3_pokedex.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 18
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\saves\settings.json", "JSON with Comments", 0, 38, 0, 0, 0, 0, 0, 38
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\display.py", "Python", 47, 0, 0, 0, 0, 0, 9, 56
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\in_game_views\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\in_game_views\game_menues_display.py", "Python", 225, 0, 0, 0, 0, 0, 26, 251
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\in_game_views\game_menues_sounds.py", "Python", 71, 0, 0, 0, 0, 0, 13, 84
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\in_game_views\in_battle_display.py", "Python", 740, 0, 0, 0, 0, 1, 40, 781
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\in_game_views\launch_menu_display.py", "Python", 359, 0, 0, 0, 0, 0, 24, 383
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\in_game_views\new_game_display.py", "Python", 66, 0, 0, 0, 0, 0, 10, 76
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\main_menu_views\main_menues_display.py", "Python", 116, 0, 0, 0, 0, 0, 18, 134
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\main_menu_views\main_menues_sounds.py", "Python", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\sounds.py", "Python", 30, 0, 0, 0, 0, 0, 8, 38
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\main.py", "Python", 23, 0, 0, 0, 0, 0, 8, 31
"Total", "-", 3730, 38, 911, 61, 1, 1, 495, 5237
